#TIME;TRIAL;RESPONSE;RT;PRIME;TARGET;TYPE;RESULT;QUESTION
82.2292;1;0;0.4851;0;1;incongruent;incorrect;0
85.97;2;0;0.5515;1;0;incongruent;correct;0
89.25;3;1;0.6348;1;0;congruent;incorrect;0
92.66;4;0;0.7683;0;0;congruent;correct;0
96.58;5;1;0.5181;1;1;incongruent;correct;0
99.78;6;1;0.5182;0;0;congruent;incorrect;0
102.9;7;1;0.568;1;0;incongruent;incorrect;0
106.8;8;1;0.5005;0;1;incongruent;correct;0
110.5;9;1;0.9013;1;1;congruent;correct;0
114.2;10;0;0.5682;1;0;incongruent;correct;0
117.3;11;1;0.9018;1;1;congruent;correct;0
121.5;12;0;0.8178;1;0;congruent;correct;0
125.0;13;0;0.7182;1;0;incongruent;correct;0
128.4;14;1;0.8183;1;1;congruent;correct;0
132.5;15;1;0.5848;0;1;incongruent;correct;0
136.2;16;0;0.6343;1;0;congruent;correct;0
140.0;17;1;0.4842;1;1;incongruent;correct;0
143.1;18;1;0.6014;0;1;incongruent;correct;1
148.2;19;0;0.5348;1;0;congruent;correct;0
152.1;20;1;0.5011;1;1;congruent;correct;0
155.3;21;1;0.5515;0;1;incongruent;correct;0
159.1;22;1;0.535;1;1;congruent;correct;0
162.3;23;0;0.5181;1;0;incongruent;correct;0
165.3;24;1;0.4013;1;0;incongruent;incorrect;0
169.1;25;0;0.5342;1;0;incongruent;correct;0
172.4;26;0;0.4682;0;0;congruent;correct;1
177.8;27;1;0.4348;1;1;congruent;correct;0
180.6;28;1;6.656;0;1;incongruent;correct;1
191.5;29;1;0.5018;1;1;congruent;correct;0
195.1;30;1;0.5181;1;1;congruent;correct;0
198.5;31;1;0.5849;0;1;incongruent;correct;0
239.8;32;1;1.001;1;0;incongruent;incorrect;0
244.2;33;1;0.4348;0;0;congruent;incorrect;0
247.4;34;0;0.4013;1;0;congruent;correct;0
250.6;35;0;0.4175;1;0;incongruent;correct;0
254.0;36;1;0.4178;0;1;incongruent;correct;0
257.3;37;0;0.5348;1;0;incongruent;correct;0
260.4;38;0;0.5014;1;0;congruent;correct;0
263.4;39;1;0.418;0;1;incongruent;correct;0
266.9;40;0;0.4681;1;0;incongruent;correct;1
272.3;41;1;0.4012;1;1;congruent;correct;1
276.3;42;1;0.6183;1;1;incongruent;correct;0
279.8;43;1;0.4843;1;1;congruent;correct;0
283.3;44;0;0.4012;1;0;incongruent;correct;0
286.5;45;0;0.5013;1;0;incongruent;correct;0
289.8;46;1;0.5016;0;1;incongruent;correct;0
293.4;47;1;0.6182;0;1;incongruent;correct;1
297.4;48;1;0.8186;1;1;incongruent;correct;0
300.6;49;1;0.5515;1;1;congruent;correct;0
303.8;50;1;0.585;1;1;congruent;correct;0
307.4;51;0;0.4346;1;0;incongruent;correct;0
310.3;52;1;0.4349;1;1;congruent;correct;0
313.3;53;0;0.5346;1;0;incongruent;correct;0
317.1;54;0;0.5514;1;0;incongruent;correct;0
320.4;55;1;0.4847;0;1;incongruent;correct;0
323.6;56;1;0.5347;0;1;incongruent;correct;0
327.2;57;1;0.5348;0;1;incongruent;correct;0
330.8;58;1;0.5015;1;1;congruent;correct;1
335.1;59;0;0.5348;1;0;incongruent;correct;0
339.0;60;0;0.5346;0;0;congruent;correct;0
342.6;61;0;0.4847;0;0;congruent;correct;0
367.1;62;1;0.468;1;1;congruent;correct;0
370.4;63;0;0.5685;1;0;congruent;correct;0
373.6;64;0;0.4516;1;1;incongruent;incorrect;0
376.5;65;1;0.5513;1;1;incongruent;correct;0
380.2;66;1;0.4847;1;1;incongruent;correct;0
383.3;67;1;0.5342;1;1;incongruent;correct;0
387.0;68;1;0.4179;0;1;incongruent;correct;0
390.8;69;1;0.4508;1;1;incongruent;correct;0
394.1;70;1;0.5847;1;0;incongruent;incorrect;0
397.4;71;0;0.6682;1;0;incongruent;correct;0
400.9;72;0;0.468;0;0;congruent;correct;0
404.7;73;0;0.4347;1;0;incongruent;correct;0
408.5;74;0;0.4349;1;0;incongruent;correct;0
411.8;75;1;0.4508;0;1;incongruent;correct;0
415.0;76;1;0.6684;1;1;incongruent;correct;0
418.2;77;0;0.4681;0;0;congruent;correct;0
421.6;78;0;0.5513;1;0;incongruent;correct;0
425.3;79;0;0.6848;0;0;congruent;correct;0
429.2;80;0;0.5514;1;0;incongruent;correct;0
432.4;81;0;0.5348;0;0;congruent;correct;0
435.8;82;0;0.6343;1;0;congruent;correct;0
439.2;83;1;0.4506;1;1;congruent;correct;0
442.6;84;1;0.468;1;1;congruent;correct;0
446.4;85;1;0.4512;1;1;congruent;correct;0
449.9;86;1;0.468;1;1;incongruent;correct;0
453.4;87;0;0.5682;0;0;congruent;correct;1
458.0;88;1;0.435;1;1;congruent;correct;0
461.1;89;1;0.4681;1;1;incongruent;correct;0
464.0;90;0;0.618;1;0;incongruent;correct;0
467.8;91;0;0.5012;1;0;incongruent;correct;0
510.5;92;1;0.6011;1;1;congruent;correct;0
513.8;93;1;0.4841;0;1;incongruent;correct;0
517.1;94;1;0.4514;1;1;congruent;correct;0
520.1;95;1;0.3847;1;1;congruent;correct;0
523.5;96;1;0.5014;1;1;congruent;correct;0
527.4;97;0;0.4512;1;0;congruent;correct;1
531.7;98;1;0.6017;1;1;congruent;correct;0
535.0;99;1;0.4512;1;1;congruent;correct;1
539.2;100;1;0.5848;1;1;congruent;correct;0
542.2;101;1;0.635;1;1;congruent;correct;0
545.8;102;0;0.3848;0;0;congruent;correct;0
